9 0 0 0 0 0 0 0 0 0 F 0 0 7 2 0
0 0 0 0 0 A B 0 8 0 0 0 0 0 0 4
0 F 0 6 D 0 0 0 7 2 0 5 0 E 0 1
0 3 A 0 C 7 8 0 0 0 D 1 0 B 6 0
0 2 7 A B 0 0 D 0 0 9 8 0 0 0 C
0 0 0 5 0 6 0 0 E 0 0 F 2 0 0 0
B 0 0 F 0 0 2 3 0 0 0 0 8 0 E 0
0 0 0 8 F 0 0 0 0 4 6 7 0 9 1 B
0 0 F 1 4 0 9 0 5 C 0 B 0 0 0 0
A 0 D 3 0 0 0 E 0 7 1 0 0 0 0 0
0 0 0 0 0 0 6 0 9 F 0 0 0 0 C 0
2 E C 0 0 0 1 0 0 0 A 4 0 0 0 0
0 0 0 0 6 8 0 0 C 9 0 0 1 0 D 0
0 7 2 E 0 C 0 0 0 0 0 0 0 A 0 0
0 0 5 C 0 0 0 0 A 0 3 E 0 0 8 F
0 0 0 0 0 9 E B 0 0 0 D 7 0 0 3               
